Item.code,Value,Description,Format
ranney66_01,51206,The average annual income of U.S. residents age 25 or older who have a bachelor's degree or higher,$x
ranney66_02,1.00E+11,The total annual budget of the state government of California,$x
ranney66_03,82,The percentage of K-12 public school teachers who are female,x%
ranney66_04,464,The current number of gallons of gasoline consumed in the U.S. per peson each year (including by businesses and industry),x gallons
ranney66_05,18,"The percentage of inmates in state prisons in the U.S. who serve their entire sentence in prison (i.e., are never paroled)",x%
ranney66_06,1.6,"The amount of money given by the U.S. government in aid to foreign countries (loans and grants, but not Iraq reconstruction costs), per $1,000 of goods and services produced in the U.S.",x in $1000
ranney66_07,9.7,The percentage of K-12 students in the U.S. who attend private school,x%
ranney66_08,46597,The average annual salary of U.S. K-12 public school teachers,$x
ranney66_09,6.5,The current percentage of deaths in the U.S. that are caused by lung cancer,x%
ranney66_10,52,The percent decrease in square miles of wetland in the lower 48 U.S. states since 1600,x%
ranney66_11,50.3,The percentage of U.S. households owning stock either directly or through a mutual fund,x%
ranney66_12,48,The average life expectancy at birth in Sub-Saharan Africa,x years old
ranney66_13,13.3,The percentage of the California state budget that is spent on transportation (includes both Caltrans and transportation-related spending by other state agencies),x%
ranney66_14,42.5,"The percentage of U.S. women age 16 or over who are neither employed nor seeking employment (this is distinct from the unemployment rate, which includes only those seeking employment)",x%
ranney66_15,17,The percentage of all oil imported into the U.S. that comes from the Persian Gulf region,x%
ranney66_16,8,The percentage of the 2008 Berkeley city budget that is spent on Health and Human Services,x%
ranney66_17,96,The percentage of incumbents running for reelection in the U.S. Senate in 2004 who were reelected,x%
ranney66_18,68,"The percentage of U.C. Berkeley students who receive some form of need-based financial aid (grants, loans, work-study, or other forms of institutionally tracked non-parental aid)",x%
ranney66_19,652,The number of people currently on death row (awaiting execution) in California,x people
ranney66_20,39,The percentage of fatal traffic crashes in the U.S. that involve at least one driver whose blood-alcohol content is over the legal limit for the state in which the crash occurred,x%
ranney66_21,43,The current percentage of U.S. first-time homebuyers who take out zero-down-payment loans,x%
ranney66_22,420,The number of gallons of gasoline consumed in the U.S. (including industry) per person in 1982,x gallons
ranney66_23,37172015,The current population of California,x people
ranney66_24,30.2,The percentage of the California state government's budget that is spent on K-12 education,x%
ranney66_25,3.3,The current percentage of female deaths in the U.S. that are caused by breast cancer,x%
ranney66_26,68,The percentage of people arrested by California state or local police who are convicted of the crime they are arrested for,x%
ranney66_27,24272,The total cost for a California resident to attend U.C. Berkeley in 2007 as an undergraduate living in a University residence hall (including personal expenses),$x
ranney66_28,8,"The percentage of all money spent on retail goods in the U.S. (such as clothing, furniture, groceries, but not automobiles) spent at stores owned by Wal-Mart, Inc. (i.e., Wal-Mart or Sam's Club stores)",x%
ranney66_29,23,The percentage of the Berkeley city budget that is spent on police and fire services,x%
ranney66_30,57.6,The percentage of 18-24 year olds in the U.S. who were registered to vote in the 2004 election,x%
ranney66_31,20.2,"The number of law enforcement officials killed each year in the line of duty in the U.S. per 100,000 law enforcement officials","x in 100,000"
ranney66_32,25.5,The percentage of women over the age of 15 in the U.S. who have never been married,x%
ranney66_33,14.2,The percentage of U.S. residents who changed residences within the last year,x%
ranney66_34,22,"The percentage of inmates in state prisons in the U.S. who are incarcerated for a drug-related offense (possession, distribution, etc.), with this being their most serious offense",x%
ranney66_35,20.3,The percentage of the U.S. federal budget that is spent on Social Security,x%
ranney66_36,27915,The average annual income of U.S. residents age 25 or older who have a high school diploma but have never attended college,$x
ranney66_37,6207,"The value that $1,000 in 1966 would have today (adjusted for inflation)",$x
ranney66_38,1196,"The number of registered motor vehicles in the U.S (automobiles, trucks, or motorcycles, personally or commercially owned) per 1,000 licensed drivers",x in 1000
